sample_id,condition,species,tissue,expression,viability_percent,dose_mg,replicate,batch,experiment_date,quality_score,status,review_flag,operator,notes
EXP-024,Control,Rat,Liver,10.2,98.1,0,R3,B09,2026-07-20,9.7,Passed,false,Charlie,Baseline sample
EXP-025,Treated,Human,Lung,19.7,90.5,5,R4,B10,2026-07-22,8.6,Passed,false,Alice,Expected response
EXP-026,Treated,Mouse,Kidney,21.4,78.9,20,R4,B10,2026-07-22,5.8,Failed,true,Bob,Low viability
EXP-027,Control,Rat,Heart,9.9,97.6,0,R1,B10,2026-07-22,9.4,Passed,false,Charlie,Routine control
EXP-028,Treated,Human,Liver,17.8,92.3,5,R1,B11,2026-07-25,8.7,Passed,false,Alice,Stable response
EXP-029,Control,Mouse,Lung,10.9,96.9,0,R2,B11,2026-07-25,9.3,Passed,false,Bob,Control replicate
EXP-030,Treated,Rat,Kidney,18.9,85.8,10,R2,B11,2026-07-25,7.8,Review,true,Charlie,Repeat measurement
EXP-031,Treated,Human,Heart,24.1,80.4,20,R3,B12,2026-07-28,6.4,Failed,true,Alice,Threshold exceeded
EXP-032,Control,Mouse,Liver,9.4,98.4,0,R3,B12,2026-07-28,9.8,Passed,false,Bob,Baseline sample
EXP-033,Treated,Rat,Lung,16.8,88.6,5,R4,B12,2026-07-28,8.2,Passed,false,Charlie,Expected response
EXP-034,Control,Human,Kidney,12.6,95.9,0,R4,B13,2026-08-01,9.0,Passed,false,Alice,Control replicate
EXP-035,Treated,Mouse,Heart,20.8,86.2,10,R1,B13,2026-08-01,7.4,Review,true,Bob,Manual review
EXP-036,Control,Rat,Liver,10.6,97.8,0,R1,B13,2026-08-01,9.6,Passed,false,Charlie,Routine control
EXP-037,Treated,Human,Lung,22.3,83.5,20,R2,B14,2026-08-04,6.7,Review,true,Alice,Strong response
EXP-038,Control,Mouse,Kidney,11.2,96.7,0,R2,B14,2026-08-04,9.2,Passed,false,Bob,Routine control
EXP-039,Treated,Rat,Heart,17.4,90.1,5,R3,B14,2026-08-04,8.5,Passed,false,Charlie,Stable response
EXP-040,Treated,Human,Liver,19.9,87.3,10,R3,B15,2026-08-07,7.9,Passed,false,Alice,Routine treatment
EXP-041,Control,Mouse,Lung,9.7,98.0,0,R4,B15,2026-08-07,9.7,Passed,false,Bob,Baseline sample
EXP-042,Treated,Rat,Kidney,23.1,79.6,20,R4,B15,2026-08-07,5.6,Failed,true,Charlie,Low viability
EXP-043,Control,Human,Heart,12.9,95.6,0,R1,B16,2026-08-10,8.9,Passed,false,Alice,Control replicate
EXP-044,Treated,Mouse,Liver,18.3,91.4,5,R1,B16,2026-08-10,8.8,Passed,false,Bob,Expected response
EXP-045,Treated,Rat,Lung,,86.9,10,R2,B16,2026-08-10,6.2,Review,true,Charlie,Expression missing
EXP-046,Control,Human,Kidney,11.5,97.1,0,R2,B17,2026-08-13,9.4,Passed,false,Alice,Routine control
EXP-047,Treated,Mouse,Heart,21.9,81.8,20,R3,B17,2026-08-13,6.1,Review,true,Bob,Strong response
EXP-048,Control,Rat,Liver,10.1,98.3,0,R3,B17,2026-08-13,9.8,Passed,false,Charlie,Baseline sample
EXP-049,Treated,Human,Lung,18.8,89.9,5,R4,B18,2026-08-16,8.3,Passed,false,Alice,Stable response
EXP-050,Treated,Mouse,Kidney,20.5,84.7,10,R4,B18,2026-08-16,7.3,Review,true,Bob,Repeat measurement
EXP-051,Control,Rat,Heart,10.7,97.5,0,R1,B18,2026-08-16,9.5,Passed,false,Charlie,Routine control
EXP-052,Treated,Human,Liver,24.4,78.2,20,R1,B19,2026-08-19,5.4,Failed,true,Alice,Low viability
EXP-053,Control,Mouse,Lung,9.8,96.6,0,R2,B19,2026-08-19,9.1,Passed,false,Bob,Control replicate
EXP-054,Treated,Rat,Kidney,17.2,91.0,5,R2,B19,2026-08-19,8.6,Passed,false,Charlie,Expected response
EXP-055,Control,Human,Heart,12.3,98.1,0,R3,B20,2026-08-22,9.7,Passed,false,Alice,Baseline sample
EXP-056,Treated,Mouse,Liver,19.6,85.6,10,R3,B20,2026-08-22,7.5,Review,true,Bob,Manual review
EXP-057,Treated,Rat,Lung,22.8,80.9,20,R4,B20,2026-08-22,6.0,Failed,true,Charlie,Threshold exceeded
EXP-058,Control,Human,Kidney,11.9,96.3,0,R4,B21,2026-08-25,9.0,Passed,false,Alice,Routine control
EXP-059,Treated,Mouse,Heart,18.1,90.8,5,R1,B21,2026-08-25,8.5,Passed,false,Bob,Stable response
EXP-060,Treated,Rat,Liver,20.7,86.1,10,R1,B21,2026-08-25,7.7,Review,true,Charlie,Repeat measurement
EXP-061,Control,Human,Lung,13.1,97.0,0,R2,B22,2026-08-28,9.3,Passed,false,Alice,Control replicate
EXP-062,Treated,Mouse,Kidney,23.7,77.8,20,R2,B22,2026-08-28,5.2,Failed,true,Bob,Low viability
EXP-063,Control,Rat,Heart,10.4,98.5,0,R3,B22,2026-08-28,9.9,Passed,false,Charlie,Baseline sample
EXP-064,Treated,Human,Liver,19.2,89.4,5,R3,B23,2026-09-01,8.4,Passed,false,Alice,Expected response
EXP-065,Treated,Mouse,Lung,21.1,84.9,10,R4,B23,2026-09-01,7.1,Review,true,Bob,Manual review
EXP-066,Control,Rat,Kidney,9.6,97.7,0,R4,B23,2026-09-01,9.6,Passed,false,Charlie,Routine control
EXP-067,Treated,Human,Heart,25.0,79.1,20,R1,B24,2026-09-04,5.7,Failed,true,Alice,Strong response
EXP-068,Control,Mouse,Liver,10.0,96.8,0,R1,B24,2026-09-04,9.2,Passed,false,Bob,Control replicate
EXP-069,Treated,Rat,Lung,17.7,91.6,5,R2,B24,2026-09-04,8.7,Passed,false,Charlie,Stable response
EXP-070,Control,Human,Kidney,12.5,98.2,0,R2,B25,2026-09-07,9.8,Passed,false,Alice,Baseline sample
EXP-071,Treated,Mouse,Heart,20.2,85.3,10,R3,B25,2026-09-07,7.6,Review,true,Bob,Repeat measurement
EXP-072,Treated,Rat,Liver,23.4,81.5,20,R3,B25,2026-09-07,6.3,Review,true,Charlie,Threshold warning
EXP-073,Control,Human,Lung,11.7,95.8,0,R4,B26,2026-09-10,8.8,Passed,false,Alice,Routine control
EXP-074,Treated,Mouse,Kidney,18.5,90.2,5,R4,B26,2026-09-10,8.3,Passed,false,Bob,Expected response
EXP-075,Treated,Rat,Heart,,87.0,10,R1,B26,2026-09-10,6.5,Review,true,Charlie,Expression missing
EXP-076,Control,Human,Liver,13.0,97.4,0,R1,B27,2026-09-13,9.5,Passed,false,Alice,Control replicate
EXP-077,Treated,Mouse,Lung,24.0,78.5,20,R2,B27,2026-09-13,5.3,Failed,true,Bob,Low viability
EXP-078,Control,Rat,Kidney,10.8,98.0,0,R2,B27,2026-09-13,9.7,Passed,false,Charlie,Baseline sample
EXP-079,Treated,Human,Heart,19.4,89.8,5,R3,B28,2026-09-16,8.2,Passed,false,Alice,Stable response
EXP-080,Treated,Mouse,Liver,21.6,84.4,10,R3,B28,2026-09-16,7.2,Review,true,Bob,Manual review
EXP-081,Control,Rat,Lung,9.5,96.5,0,R4,B28,2026-09-16,9.0,Passed,false,Charlie,Routine control
EXP-082,Treated,Human,Kidney,24.7,80.2,20,R4,B29,2026-09-19,5.9,Failed,true,Alice,Threshold exceeded
EXP-083,Control,Mouse,Heart,11.1,97.9,0,R1,B29,2026-09-19,9.6,Passed,false,Bob,Control replicate
EXP-084,Treated,Rat,Liver,18.0,91.1,5,R1,B29,2026-09-19,8.6,Passed,false,Charlie,Expected response
EXP-085,Control,Human,Lung,12.7,98.4,0,R2,B30,2026-09-22,9.9,Passed,false,Alice,Baseline sample
EXP-086,Treated,Mouse,Kidney,20.9,86.0,10,R2,B30,2026-09-22,7.8,Review,true,Bob,Repeat measurement
EXP-087,Treated,Rat,Heart,23.0,82.3,20,R3,B30,2026-09-22,6.6,Review,true,Charlie,Strong response
EXP-088,Control,Human,Liver,11.6,96.1,0,R3,B31,2026-09-25,8.9,Passed,false,Alice,Routine control
EXP-089,Treated,Mouse,Lung,18.9,90.6,5,R4,B31,2026-09-25,8.5,Passed,false,Bob,Stable response
EXP-090,Treated,Rat,Kidney,21.3,85.1,10,R4,B31,2026-09-25,7.4,Review,true,Charlie,Manual review
EXP-091,Control,Human,Heart,13.2,97.3,0,R1,B32,2026-09-28,9.4,Passed,false,Alice,Control replicate
EXP-092,Treated,Mouse,Liver,24.3,79.4,20,R1,B32,2026-09-28,5.5,Failed,true,Bob,Low viability
EXP-093,Control,Rat,Lung,10.3,98.6,0,R2,B32,2026-09-28,9.9,Passed,false,Charlie,Baseline sample
EXP-094,Treated,Human,Kidney,19.5,89.2,5,R2,B33,2026-10-01,8.1,Passed,false,Alice,Expected response
EXP-095,Treated,Mouse,Heart,22.0,83.7,10,R3,B33,2026-10-01,7.0,Review,true,Bob,Repeat measurement
EXP-096,Control,Rat,Liver,9.9,97.6,0,R3,B33,2026-10-01,9.5,Passed,false,Charlie,Routine control
EXP-097,Treated,Human,Lung,25.4,78.8,20,R4,B34,2026-10-04,5.6,Failed,true,Alice,Threshold exceeded
EXP-098,Control,Mouse,Kidney,11.3,96.9,0,R4,B34,2026-10-04,9.2,Passed,false,Bob,Validation control
EXP-099,Treated,Rat,Heart,17.9,90.7,5,R1,B34,2026-10-04,8.4,Passed,false,Charlie,Validation run
EXP-100,Treated,Human,Liver,20.6,,10,R1,B35,2026-10-07,6.7,Review,true,Alice,Viability missing
